date_time,text,value
01/01/1999 00:00:00,Evilwar,heavy metal
01/01/2007 00:00:00,Exitus Letalis,heavy metal
01/01/2005 00:00:00,Falls of Rauros,heavy metal
01/01/1998 00:00:00,Finsterwald,heavy metal
01/01/2001 00:00:00,Flagellator,heavy metal
01/01/1993 00:00:00,Forbidden Site,heavy metal
01/01/1996 00:00:00,Forest Silence,heavy metal
01/01/2005 00:00:00,ForestGrave,heavy metal
01/01/1999 00:00:00,Forgotten Tomb,heavy metal
01/01/2006 00:00:00,Fornicatus,heavy metal
01/01/2000 00:00:00,Frangar,heavy metal
01/01/2005 00:00:00,Freitod,heavy metal
01/01/2008 00:00:00,Freitodt,heavy metal
01/01/2009 00:00:00,Frijgard,heavy metal
01/01/1999 00:00:00,Front Beast,heavy metal
01/01/2012 00:00:00,Frostbitten,heavy metal
01/01/2009 00:00:00,FrostSeele,heavy metal
01/01/2005 00:00:00,Frozen Scars,heavy metal
01/01/2010 00:00:00,Frozenwoods,heavy metal
01/01/2004 00:00:00,Funeral Forest,heavy metal
01/01/2003 00:00:00,Funerarium,heavy metal
01/01/2007 00:00:00,Funerary Bell,heavy metal
01/01/2007 00:00:00,Furva Ambiguitas,heavy metal
01/01/1992 00:00:00,Gehennah,heavy metal
01/01/2000 00:00:00,Germanen Blut,heavy metal
01/01/2011 00:00:00,Glaciation,heavy metal
01/01/1995 00:00:00,Gloomy Grim,heavy metal
01/01/2002 00:00:00,Glorior Belli,heavy metal
01/01/2010 00:00:00,Godflesh Deformed,heavy metal
01/01/2008 00:00:00,GodHater,heavy metal
01/01/1992 00:00:00,Gorgoroth,heavy metal
01/01/1992 00:00:00,Grand Belial's Key,heavy metal
01/01/1992 00:00:00,Graveland,heavy metal
01/01/1999 00:00:00,Graven,heavy metal
01/01/1992 00:00:00,Graveworm,heavy metal
01/01/2006 00:00:00,Grey Heaven Fall,heavy metal
01/01/2005 00:00:00,Griefthorn,heavy metal
01/01/2003 00:00:00,Grim Monolith,heavy metal
01/01/2003 00:00:00,Grimnisse,heavy metal
01/01/1996 00:00:00,Grimoria,heavy metal
01/01/1998 00:00:00,Grom,heavy metal
01/01/2002 00:00:00,Grond,heavy metal
01/01/2005 00:00:00,Hades Archer,heavy metal
01/01/1998 00:00:00,Haemoth,heavy metal
01/01/1999 00:00:00,Halgadom,heavy metal
01/01/1993 00:00:00,Handful of Hate,heavy metal
01/01/2008 00:00:00,Hanging Garden,heavy metal
01/01/2007 00:00:00,Happy Days,heavy metal
01/01/2001 00:00:00,Hatestorm,heavy metal
01/01/2012 00:00:00,Hautakammio,heavy metal
01/01/1992 00:00:00,Helheim,heavy metal
01/01/2001 00:00:00,Hell Militia,heavy metal
01/01/1997 00:00:00,Hellstorm,heavy metal
01/01/2001 00:00:00,Helrunar,heavy metal
01/01/2003 00:00:00,Helvete,heavy metal
01/01/1994 00:00:00,Hirilorn,heavy metal
01/01/2011 00:00:00,Hisst??nend,heavy metal
01/01/2004 00:00:00,Holdaar,heavy metal
01/01/1996 00:00:00,Homicide,heavy metal
01/01/2003 00:00:00,HomSelvareg,heavy metal
01/01/1993 00:00:00,Horna,heavy metal
01/01/2002 00:00:00,Horned Almighty,heavy metal
01/01/2002 00:00:00,ID:Vision,heavy metal
01/01/2007 00:00:00,Ignominious,heavy metal
01/01/2001 00:00:00,Illness,heavy metal
01/01/2008 00:00:00,I'm in a Coffin,heavy metal
01/01/1990 00:00:00,Immortal,heavy metal
01/01/2000 00:00:00,Immortal Hammer,heavy metal
01/01/1990 00:00:00,Impaled Nazarene,heavy metal
01/01/2004 00:00:00,Imperium Dekadenz,heavy metal
01/01/1990 00:00:00,Impiety,heavy metal
01/01/2006 00:00:00,Inarborat,heavy metal
01/01/2003 00:00:00,Inferius Torment,heavy metal
01/01/2009 00:00:00,Inferna,heavy metal
01/01/1996 00:00:00,Infernal,heavy metal
01/01/2002 00:00:00,Infernal Angels,heavy metal
01/01/2000 00:00:00,Infernal Kingdom,heavy metal
01/01/2003 00:00:00,Infernal Nature,heavy metal
01/01/2000 00:00:00,Infestum,heavy metal
01/01/2003 00:00:00,Infestus,heavy metal
01/01/1995 00:00:00,Infinity,heavy metal
